lang_name1	lang_name2	lang_name3	n_page_w_tr	n_tte_w_tr	n_tte_wo_tr	n_tte_icho_w_tr
'Are'are			16	17	0	17
A-Pucikwar			4	4	0	4
Aari			18	18	0	18
Aasax			6	6	0	6
Aba			2	2	0	2
Abaga			14	14	0	14
Abai			1	1	0	1
Abanyom			4	4	0	4
Abau			19	19	0	19
Abaza			135	138	0	138
Abenaki			97	100	1	100
Abhkazian			1	1	0	1
Abidji			1	1	0	1
Abinomn			16	16	0	16
Abipón			1	1	0	1
Abishira			0	0	1	0
Abkhaz			1098	1173	28	1173
Abom			1	1	0	1
Abon			1	1	0	1
Abron			0	0	2	0
Abu			3	3	1	3
Abu'			4	4	0	4
Abua			2	2	0	2
Abui			1	1	0	1
Abun			1	1	0	1
Abung			3	3	0	3
Abure			1	1	0	1
Abé			1	1	0	1
Acehnese			297	300	23	299
Achaemenid Elamite			1	1	0	1
Achagua			2	2	0	2
Achang			7	8	2	9
Achang	Ngochang		1	1	0	
Achehnese			1	1	0	1
Acheron			1	1	0	1
Achi			4	4	0	4
Acholi			18	18	1	18
Achuar			10	11	2	11
Achumawi			2	2	0	2
Aché			4	4	0	4
Adamorobe Sign Language			0	0	1	0
Adang			2	2	0	2
Adangme			14	16	0	16
Adele			3	3	0	3
Adi			1	1	0	1
Adioukrou			1	1	0	1
Adnyamathanha			20	20	0	20
Adyghe			1	1	1	1
Adzera			2	2	0	2
Aeka			1	1	0	1
Aekyom			1	1	0	1
Afade			1	1	0	1
Afar			231	238	31	238
Afghan Sign Language			0	0	3	0
Afrikaans			7765	10022	169	10020
Agarabi			2	2	0	2
Agatu			1	1	0	1
Aghem			1	1	0	1
Aghu Tharrnggala			1	1	0	1
Aghul			21	22	0	22
Aghwan			258	280	32	280
Agi			2	2	0	2
Agob			1	1	0	1
Agta			0	0	87	87
Agta	Alabat Island Agta		1	1	0	
Agta	Camarines Norte Agta		2	2	0	
Agta	Casiguran Dumagat Agta		9	9	0	
Agta	Central Cagayan Agta		4	4	0	
Agta	Dicamay Agta		1	1	0	
Agta	Dinapigue Agta		1	1	0	
Agta	Dupaningan Agta		80	80	0	
Agta	Nagtipunan Agta		1	1	0	
Agta	Pahanan Agta		1	1	0	
Agta	Remontado Agta		2	2	0	
Agta	Umiray Dumaget Agta		1	1	0	
Aguacatec			1	1	0	1
Aguacateca			1	1	0	1
Aguaruna			21	21	0	21
Agutaynen			7	7	0	7
Ahanta			1	1	0	1
Ahirani			3	3	0	3
Ahom			134	141	1	141
Ahtna			267	268	0	268
Ahwai			1	1	0	1
Ai-Cham			2	2	0	2
Aikanã			1	1	0	1
Aimele			2	2	0	2
Ainu			399	421	20	421
Airoran			0	0	1	0
Aisi			2	2	0	2
Aiton			17	17	44	17
Aja (East Africa)			3	3	0	3
Aja (West Africa)			8	8	1	8
Ajië			8	8	2	8
Ak			0	0	1	0
Aka (Central Africa)			1	1	0	1
Aka-Bea			2	2	0	2
Aka-Bo			2	2	0	2
Aka-Cari			2	2	0	2
Aka-Kede			2	2	0	2
