lang	lang_desc	denom	num	pct100str	pct100	denom_1	num_1	pct100str_1	pct100_1	denom_2	num_2	pct100str_2	pct100_2	denom_3	num_3	pct100str_3	pct100_3	denom_4	num_4	pct100str_4	pct100_4	denom_5	num_5	pct100str_5	pct100_5
fi	Finnish	2499	2477	99.1	99.11964785914365	503	499	99.2	99.20477137176938	503	503	100.0	100.0	500	492	98.4	98.4	500	495	99.0	99.0	493	488	99.0	98.98580121703854
fr	French	2499	2471	98.9	98.8795518207283	503	499	99.2	99.20477137176938	503	499	99.2	99.20477137176938	500	494	98.8	98.8	500	492	98.4	98.4	493	487	98.8	98.78296146044624
es	Spanish	2499	2470	98.8	98.83953581432573	503	499	99.2	99.20477137176938	503	501	99.6	99.6023856858847	500	497	99.4	99.4	500	488	97.6	97.6	493	485	98.4	98.37728194726166
de	German	2499	2468	98.8	98.75950380152061	503	501	99.6	99.6023856858847	503	498	99.0	99.00596421471172	500	499	99.8	99.8	500	491	98.2	98.2	493	479	97.2	97.16024340770791
pt	Portuguese	2499	2459	98.4	98.39935974389756	503	498	99.0	99.00596421471172	503	497	98.8	98.80715705765408	500	494	98.8	98.8	500	490	98.0	98.0	493	480	97.4	97.3630831643002
ru	Russian	2499	2459	98.4	98.39935974389756	503	497	98.8	98.80715705765408	503	497	98.8	98.80715705765408	500	492	98.4	98.4	500	495	99.0	99.0	493	478	97.0	96.95740365111561
it	Italian	2499	2430	97.2	97.23889555822329	503	492	97.8	97.8131212723658	503	491	97.6	97.61431411530815	500	490	98.0	98.0	500	482	96.4	96.4	493	475	96.3	96.34888438133875
bg	Bulgarian	2499	2419	96.8	96.79871948779511	503	479	95.2	95.22862823061631	503	497	98.8	98.80715705765408	500	487	97.4	97.4	500	483	96.6	96.6	493	473	95.9	95.94320486815415
pl	Polish	2499	2387	95.5	95.51820728291317	503	494	98.2	98.2107355864811	503	486	96.6	96.62027833001989	500	475	95.0	95.0	500	468	93.6	93.6	493	464	94.1	94.11764705882354
nl	Dutch	2499	2375	95.0	95.03801520608243	503	487	96.8	96.81908548707753	503	486	96.6	96.62027833001989	500	477	95.4	95.4	500	468	93.6	93.6	493	457	92.7	92.69776876267748
sv	Swedish	2499	2365	94.6	94.63785514205682	503	493	98.0	98.01192842942346	503	480	95.4	95.42743538767395	500	475	95.0	95.0	500	468	93.6	93.6	493	449	91.1	91.07505070993915
hu	Hungarian	2499	2315	92.6	92.63705482192877	503	489	97.2	97.21669980119285	503	471	93.6	93.63817097415507	500	470	94.0	94.0	500	450	90.0	90.0	493	435	88.2	88.23529411764706
cs	Czech	2499	2307	92.3	92.31692677070828	503	484	96.2	96.22266401590457	503	467	92.8	92.84294234592446	500	463	92.6	92.6	500	458	91.6	91.6	493	435	88.2	88.23529411764706
cmn	Mandarin	2499	2304	92.2	92.1968787515006	503	479	95.2	95.22862823061631	503	472	93.8	93.83697813121272	500	465	93.0	93.0	500	444	88.8	88.8	493	444	90.1	90.06085192697769
ca	Catalan	2499	2301	92.1	92.07683073229292	503	483	96.0	96.02385685884691	503	470	93.4	93.43936381709742	500	462	92.4	92.4	500	447	89.4	89.4	493	439	89.0	89.04665314401623
uk	Ukrainian	2499	2288	91.6	91.55662264905962	503	481	95.6	95.62624254473161	503	480	95.4	95.42743538767395	500	467	93.4	93.4	500	444	88.8	88.8	493	416	84.4	84.38133874239351
ja	Japanese	2499	2278	91.2	91.15646258503402	503	481	95.6	95.62624254473161	503	469	93.2	93.24055666003976	500	464	92.8	92.8	500	439	87.8	87.8	493	425	86.2	86.20689655172414
eo	Esperanto	2499	2251	90.1	90.07603041216487	503	490	97.4	97.4155069582505	503	463	92.0	92.04771371769384	500	458	91.6	91.6	500	436	87.2	87.2	493	404	81.9	81.947261663286
ar	Arabic	2499	2184	87.4	87.39495798319328	503	480	95.4	95.42743538767395	503	453	90.1	90.0596421471173	500	445	89.0	89.0	500	408	81.6	81.6	493	398	80.7	80.73022312373224
